order_id,user_id,product_id,product_name,ds,brand,english_name,chinese_name,full_text,ai_review,has_sensitive_content,sensitive_words
0005518ecccf4daa878dcb6bd4c60739,66847e0a-f7fc-4a44-8eb5-8aeddaaad544,10124914935046,lululemon丨Pace Breaker男士运动短裤 9,2025-11-04 21:49:38,lululemon,Pace Breaker,男士运动短裤 9,lululemon丨Pace Breaker男士运动短裤 9,这款lululemon Pace Breaker男士运动短裤非常舒适，面料透气吸汗，剪裁合身，运动时毫无束缚感，强烈推荐！,0,
000566c3739046c2bd0fbda5b150f150,ea160fa2-6f01-4769-ab11-e0230256a93c,10102876006071,lululemon丨Softstreme 女士高腰短裤 4,2025-11-06 15:57:35,lululemon,Softstreme,女士高腰短裤 4,lululemon丨Softstreme 女士高腰短裤 4,这款lululemon Softstreme短裤面料很硬，穿上不透气，运动时闷热出汗，腰部设计也不舒服，完全不符合预期，非常失望。,0,
0005982c05824c969b41a68ac63e36ff,6a3499e5-0211-4681-8a92-e66f17d62521,10101983289114,lululemon丨ABC 男士常规款运动裤 *WovenAir LM5AXMS 黑色 XL,2025-11-06 10:37:04,lululemon,ABC,男士常规款运动裤 *WovenAir LM5AXMS 黑色 XL,lululemon丨ABC 男士常规款运动裤 *WovenAir LM5AXMS 黑色 XL,这条裤子尺码偏大，穿上后松垮不贴身，运动时容易滑落，面料也不够透气，夏天穿闷热不舒服，完全不符合预期。,0,
0006588361264c60b98db33ad8f4d1a2,d8db3f21-9e96-4501-971c-431aa84d2063,10147754887150,lululemon丨Multi-Panel 运动帽 LU9CSIS 黑色 L/XL,2025-11-11 11:20:32,lululemon,Multi-Panel,运动帽 LU9CSIS 黑色 L/XL,lululemon丨Multi-Panel 运动帽 LU9CSIS 黑色 L/XL,这款lululemon Multi-Panel运动帽质量一般，透气性差，戴着闷热，不适合长时间运动，完全不值这个价格。,0,
0007aa5a1c4c405b8451d6fb5a897b1c,bb5f2078-be23-4762-801d-7e055d305252,10084725893699,lululemon丨Relaxed-Tapered 男士斜纹宽松收腿长裤 *中长款 LM5ARVS 黑色 32,2025-11-07 19:54:44,lululemon,Relaxed-Tapered,男士斜纹宽松收腿长裤 *中长款 LM5ARVS 黑色 32,lululemon丨Relaxed-Tapered 男士斜纹宽松收腿长裤 *中长款 LM5ARVS 黑色 32,这条裤子尺码偏大，穿上后腿显得臃肿，完全没显瘦效果，而且面料有点硬，活动起来不顺滑，非常失望。,0,
0007ec07cf144f8c80f490b95f2b8293,7e039977-efaf-46cb-91d6-47e727531403,10046658373217,lululemon丨ABC 男士运动慢跑长裤 *Asia LM5653A 海军蓝 XS,2025-11-06 10:09:00,lululemon,ABC,男士运动慢跑长裤 *Asia LM5653A 海军蓝 XS,lululemon丨ABC 男士运动慢跑长裤 *Asia LM5653A 海军蓝 XS,这款裤子面料柔软透气，适合慢跑穿着，但版型略显宽松，可能不太适合追求修身效果的用户。整体性价比一般，适合***常运动使用。,0,
0008e9d4987444d9b872842452d2d4c9,e0730c06-aa1f-4fb6-9ad1-0ad5094f1607,10136049480943,lululemon 丨Engineered Warmth 男士运动夹克 LM3CLKS 黑/黑 S,2025-10-28 19:17:35,lululemon,Engineered Warmth,男士运动夹克 LM3CLKS 黑/黑 S,lululemon 丨Engineered Warmth 男士运动夹克 LM3CLKS 黑/黑 S,这款lululemon Engineered Warmth男士夹克非常保暖，面料柔软透气，运动时也不闷汗，设计简约大方，很适合秋冬户外活动，强烈推荐！,0,
0008eafebd454b52a0e41f920dcb2cf3,e2e59d28-96c9-4ec1-847c-4630eb28f789,10137933422650,lululemon丨Fast Track 运动包 2.0 LU9C59S 黑色(LU9C59S) O/S,2025-11-05 16:06:19,lululemon,Fast Track,运动包 2.0 LU9C59S 黑色(LU9C59S) O/S,lululemon丨Fast Track 运动包 2.0 LU9C59S 黑色(LU9C59S) O/S,这款lululemon Fast Track运动包真的很好用，黑色经典百搭，容量大又轻便，跑步时很舒适，强烈推荐！,0,
00098a9340b04d979e1fe539f8dda1d6,bb5f2078-be23-4762-801d-7e055d305252,10101983289114,lululemon丨ABC 男士常规款运动裤 *WovenAir LM5AXMS 黑色 XL,2025-11-02 18:42:13,lululemon,ABC,男士常规款运动裤 *WovenAir LM5AXMS 黑色 XL,lululemon丨ABC 男士常规款运动裤 *WovenAir LM5AXMS 黑色 XL,这款lululemon男士运动裤真的很好，面料柔软透气，穿上很舒服，运动起来也不束缚，推荐给喜欢运动的朋友！,0,
0009eca2cd76497f91d5b78aabc04c3a,baa601d8-4c09-4413-89a1-6226c10b4857,10057293345119,lululemon丨InvisiWear 女士中腰 T 型内裤 *3 条装 速干芯吸 LW9DC3S 黑色 M,2025-11-12 15:49:56,lululemon,InvisiWear,女士中腰 T 型内裤 *3 条装 速干芯吸 LW9DC3S 黑色 M,lululemon丨InvisiWear 女士中腰 T 型内裤 *3 条装 速干芯吸 LW9DC3S 黑色 M,这款内裤面料柔软透气，适合运动时穿着，但腰部设计略显紧，长时间穿着会有勒痕感，整体性价比一般。,0,
